run_dir,kernel,model,train_end,val_end,best_lambda,best_C,best_epsilon,val_mse,test_mse,test_mae,test_r2,load_graphs_sec,gram_sec,fit_sec,total_sec,n_train,n_val,n_test
results/fixed/tau_0.30/wl/krr/run_0001,wl,krr,2019-12-31,2020-12-31,1e-06,,,0.006802691713796459,0.001571511396794388,0.030562594014195574,0.019150877208432338,6.068838119506836,2.6490042209625244,0.5110397338867188,10.195641994476318,1450,253,984
results/fixed/tau_0.30/wl/svr/run_0001,wl,svr,2019-12-31,2020-12-31,,10.0,0.01,0.0063157205011531835,0.0015167015678847445,0.03002751930019493,0.05336009307288048,5.9403767585754395,2.5249571800231934,0.28200721740722656,9.577475547790527,1450,253,984
results/fixed/tau_0.30/sp/krr/run_0001,sp,krr,2019-12-31,2020-12-31,1.0,,,0.007205701613570795,0.001610630116074583,0.031090695500856684,-0.005264829587570574,5.903283596038818,49.31909513473511,0.7411632537841797,56.88274049758911,1450,253,984
results/fixed/tau_0.30/sp/svr/run_0001,sp,svr,2019-12-31,2020-12-31,,100.0,0.05,0.006777696223681487,0.001602471816810193,0.03192526847835018,-0.00017287753856165544,6.132896184921265,49.872244119644165,0.8669073581695557,57.79579472541809,1450,253,984
results/fixed/tau_0.40/wl/krr/run_0001,wl,krr,2019-12-31,2020-12-31,0.1,,,0.006891916017303443,0.0014332695668057662,0.02863855213029674,0.10543365605164579,5.064462184906006,2.120112895965576,0.5025908946990967,8.601477146148682,1450,253,984
results/fixed/tau_0.40/wl/svr/run_0001,wl,svr,2019-12-31,2020-12-31,,10.0,0.05,0.006604211482115227,0.0014145711697889649,0.029524145941980346,0.11710414501227662,4.883786916732788,2.1238391399383545,0.26251721382141113,8.111549139022827,1450,253,984
results/fixed/tau_0.40/sp/krr/run_0001,sp,krr,2019-12-31,2020-12-31,3e-05,,,0.007042784325872079,0.0016457374298446937,0.0308034454956506,-0.027176847825054695,4.830043315887451,39.33308982849121,0.7500646114349365,45.791895151138306,1450,253,984
results/fixed/tau_0.40/sp/svr/run_0001,sp,svr,2019-12-31,2020-12-31,,100.0,0.05,0.00664876246350712,0.001619105896934103,0.03289269595794933,-0.010554941115166416,4.875892162322998,39.45950937271118,1.0849735736846924,46.37427115440369,1450,253,984
results/fixed/tau_0.50/wl/krr/run_0001,wl,krr,2019-12-31,2020-12-31,0.1,,,0.006580967883606787,0.0015865878094764214,0.03019236714507922,0.00974099959106467,4.108137130737305,1.6935186386108398,0.5009355545043945,7.222999572753906,1450,253,984
results/fixed/tau_0.50/wl/svr/run_0001,wl,svr,2019-12-31,2020-12-31,,10.0,0.05,0.0065741984273431624,0.0016133436966197486,0.03205233393246645,-0.0069585224267860735,3.9651601314544678,1.6958584785461426,0.2859337329864502,6.79988431930542,1450,253,984
results/fixed/tau_0.50/sp/krr/run_0001,sp,krr,2019-12-31,2020-12-31,1e-06,,,0.006901944800346461,0.001763546669895682,0.03196971333345731,-0.10070678223710239,3.9465198516845703,26.498804330825806,0.7509074211120605,32.18552231788635,1450,253,984
results/fixed/tau_0.50/sp/svr/run_0001,sp,svr,2019-12-31,2020-12-31,,1.0,0.05,0.00664744973655039,0.0016664772530340635,0.03258302658865442,-0.04012150410907611,3.9380722045898438,26.567864179611206,0.9516482353210449,32.44529891014099,1450,253,984
